id,coords
173,46.538151:24.566036 46.538425:24.566072
174,46.538425:24.566072 46.538441:24.566074 46.538659:24.566102 46.538711:24.566109 46.538803:24.566121
175,46.537422:24.565009 46.537071:24.564869 46.537085:24.564788 46.536885:24.564711 46.536854:24.564702
176,46.536844:24.566883 46.536842:24.566920 46.536840:24.566940 46.536802:24.567562 46.536798:24.567614
177,46.536708:24.571687 46.536511:24.571738
178,46.536511:24.571738 46.536500:24.571741 46.536455:24.571754 46.535592:24.571999 46.535575:24.572004
179,46.536999:24.568483 46.536974:24.568494 46.536959:24.568500 46.536453:24.568683 46.536214:24.568774 46.536198:24.568781 46.536180:24.568788
180,46.537501:24.569029 46.537489:24.569030 46.537458:24.569032 46.537174:24.569056 46.537133:24.569060
181,46.537301:24.574168 46.537125:24.574260
182,46.537125:24.574260 46.537095:24.574275 46.536622:24.574523
183,46.536622:24.574523 46.536105:24.574783
184,46.536105:24.574783 46.535978:24.574845
185,46.535978:24.574845 46.535795:24.574934 46.535752:24.574955
186,46.536904:24.573341 46.536894:24.573347 46.536886:24.573351 46.536673:24.573457
187,46.536673:24.573457 46.535758:24.573926
188,46.535660:24.565694 46.535656:24.565753 46.535627:24.566269 46.535628:24.566547 46.535637:24.566789 46.535684:24.567164
189,46.535684:24.567164 46.535826:24.567989 46.535834:24.568031 46.535841:24.568070 46.535994:24.568921 46.536228:24.570217 46.536430:24.571307 46.536501:24.571685 46.536505:24.571707 46.536511:24.571738
190,46.538502:24.578902 46.538489:24.578919 46.538457:24.578960 46.538373:24.579068
191,46.538373:24.579068 46.538255:24.579217 46.538072:24.579452 46.537951:24.579607 46.537912:24.579653
192,46.537912:24.579653 46.537891:24.579679 46.537704:24.579921 46.537576:24.580087 46.537436:24.580264 46.537254:24.580496 46.537168:24.580605
193,46.537168:24.580605 46.537123:24.580661 46.537109:24.580678
194,46.537109:24.580678 46.537064:24.580731 46.536874:24.580959 46.536569:24.581331 46.536383:24.581555 46.536131:24.581858
195,46.546435:24.568702 46.546571:24.568718 46.546661:24.568709 46.547098:24.568666 46.547150:24.568660
196,46.547150:24.568660 46.547228:24.568653 46.548080:24.568568
197,46.548080:24.568568 46.548188:24.568557 46.548206:24.568555 46.548260:24.568549
198,46.534752:24.588960 46.534993:24.589693 46.534831:24.589802
199,46.534831:24.589802 46.534698:24.589897
200,46.534698:24.589897 46.534556:24.589977
201,46.534556:24.589977 46.534406:24.590055
202,46.534406:24.590055 46.534338:24.590092
203,46.548227:24.570315 46.548299:24.570321 46.548370:24.570326
204,46.548260:24.568549 46.548337:24.568545 46.548413:24.568542
205,46.551769:24.575099 46.551785:24.575054 46.551995:24.574478
206,46.551995:24.574478 46.552045:24.574341 46.552102:24.574196
207,46.552102:24.574196 46.552492:24.573079
208,46.552492:24.573079 46.552533:24.572955
209,46.552533:24.572955 46.552747:24.572304 46.552770:24.572238
210,46.552770:24.572238 46.552791:24.572174 46.553062:24.571348 46.553213:24.571064 46.553343:24.570893 46.553409:24.570740 46.553447:24.570575 46.553461:24.570363 46.553494:24.570149 46.553561:24.569884
211,46.553561:24.569884 46.553682:24.569602
212,46.552533:24.572955 46.552487:24.572930 46.552467:24.572919 46.552165:24.572756 46.551805:24.572560 46.551445:24.572365 46.551181:24.572222 46.551112:24.572185
213,46.553944:24.568938 46.553918:24.568948 46.553894:24.568967 46.553874:24.568993 46.553858:24.569024 46.553848:24.569060 46.553843:24.569098 46.553843:24.569137
214,46.552492:24.573079 46.552518:24.573099 46.552816:24.573325
215,46.552816:24.573325 46.552934:24.573408
216,46.552934:24.573408 46.553241:24.573634
217,46.552102:24.574196 46.552155:24.574235 46.552375:24.574397 46.552548:24.574531
218,46.552548:24.574531 46.552744:24.574682
219,46.552744:24.574682 46.553143:24.574991
220,46.535471:24.587917 46.535500:24.587851 46.535774:24.587237
221,46.535774:24.587237 46.536049:24.586612
222,46.536049:24.586612 46.536267:24.586129
223,46.536267:24.586129 46.536336:24.585976
224,46.536336:24.585976 46.536384:24.585867
225,46.536384:24.585867 46.536507:24.585557
226,46.537287:24.594261 46.537285:24.593775 46.537281:24.592598 46.537291:24.592368 46.537312:24.592183 46.537352:24.592020 46.537405:24.591839 46.537498:24.591651 46.537542:24.591562
227,46.537542:24.591562 46.537953:24.590781 46.537973:24.590743
228,46.537973:24.590743 46.537985:24.590719 46.538013:24.590664 46.538145:24.590431
229,46.538145:24.590431 46.538525:24.589750 46.538677:24.589479
230,46.539595:24.575865 46.539591:24.575951 46.539594:24.576034 46.539604:24.576118 46.539618:24.576230 46.539624:24.576275 46.539626:24.576295 46.539638:24.576390
231,46.539638:24.576390 46.539683:24.576698 46.539717:24.576994 46.539739:24.577248 46.539781:24.577412 46.539848:24.577591 46.539852:24.577602 46.539860:24.577621 46.539932:24.577816 46.539941:24.577839 46.540282:24.578629 46.540363:24.578892 46.540416:24.579190 46.540425:24.579487 46.540425:24.579929 46.540447:24.580157 46.540527:24.580589 46.540553:24.580763
232,46.546435:24.568702 46.546414:24.568706 46.546377:24.568714 46.546323:24.568725 46.545844:24.569041 46.545736:24.569126 46.545640:24.569232 46.545563:24.569376
233,46.545997:24.563746 46.546127:24.563903 46.546221:24.564016 46.546253:24.564095 46.546255:24.564185
234,46.546412:24.563517 46.546297:24.563875 46.546285:24.563966 46.546255:24.564185
235,46.546473:24.565187 46.546541:24.565226 46.546610:24.565249 46.546665:24.565268 46.547040:24.565341 46.547075:24.565348 46.547584:24.565456 46.547615:24.565463 46.548240:24.565488 46.548302:24.565444 46.548338:24.565419
236,46.538140:24.584385 46.537960:24.584399
237,46.537960:24.584399 46.537929:24.584401 46.537630:24.584435
238,46.537630:24.584435 46.537395:24.584455 46.536594:24.584573 46.536487:24.584575
239,46.536487:24.584575 46.536405:24.584564 46.536308:24.584524 46.536209:24.584451 46.536037:24.584299 46.536005:24.584271 46.535978:24.584245 46.535903:24.584173
240,46.536158:24.588578 46.536168:24.588587
241,46.536168:24.588587 46.536257:24.588673
242,46.536414:24.588823 46.536484:24.588890
243,46.536484:24.588890 46.536498:24.588904
244,46.536498:24.588904 46.536618:24.589020 46.536716:24.589115 46.536741:24.589140
245,46.536741:24.589140 46.536777:24.589178 46.537114:24.589547
246,46.537114:24.589547 46.537192:24.589633
247,46.537192:24.589633 46.537304:24.589755 46.537333:24.589787 46.537355:24.589811 46.537373:24.589831 46.537465:24.589931
248,46.534147:24.590918 46.534173:24.591001 46.534235:24.591198
249,46.534239:24.591211 46.534271:24.591308
250,46.534271:24.591308 46.534364:24.591600
251,46.534364:24.591600 46.534494:24.592004
252,46.534494:24.592004 46.534636:24.592448
253,46.534636:24.592448 46.534662:24.592530
254,46.534662:24.592530 46.534868:24.593172
255,46.538224:24.558107 46.538201:24.558181 46.538189:24.558215 46.537910:24.559129 46.537901:24.559159
256,46.537901:24.559159 46.537875:24.559219 46.537337:24.560464
257,46.537337:24.560464 46.537224:24.560734 46.537189:24.560817
258,46.541191:24.557549 46.541104:24.557439 46.541014:24.557363 46.540514:24.557029 46.540497:24.557018
259,46.540247:24.558059 46.540092:24.558145 46.540020:24.558224
260,46.539385:24.558426 46.539797:24.558461 46.539863:24.558462
261,46.539514:24.560826 46.539492:24.560971 46.539483:24.561030 46.539450:24.561233 46.539417:24.561449 46.539364:24.561792
262,46.539364:24.561792 46.539350:24.561867 46.539349:24.561878 46.539324:24.562056
263,46.539324:24.562056 46.539308:24.562170 46.539302:24.562210 46.539297:24.562245 46.539204:24.562880 46.539098:24.563525 46.539003:24.564132 46.538920:24.564681 46.538912:24.564731
264,46.538912:24.564731 46.538875:24.564985 46.538843:24.565299 46.538822:24.565655
265,46.545997:24.563746 46.546091:24.563777 46.546172:24.563771 46.546238:24.563724 46.546284:24.563682 46.546412:24.563517
266,46.540020:24.558224 46.539934:24.558316 46.539863:24.558462
267,46.543458:24.559540 46.543528:24.559506 46.543573:24.559466 46.543627:24.559407 46.543673:24.559341 46.543706:24.559280
268,46.545954:24.558295 46.545924:24.558355 46.545895:24.558413 46.545663:24.558843
269,46.545663:24.558843 46.545358:24.559430
270,46.545358:24.559430 46.545206:24.559752
271,46.545206:24.559752 46.545121:24.559921 46.545004:24.560101
272,46.543906:24.559626 46.543843:24.559641 46.543793:24.559690 46.543728:24.559773 46.543677:24.559858
273,46.545605:24.563206 46.545625:24.563177 46.545813:24.562898 46.545963:24.562675 46.545987:24.562639
274,46.539878:24.558965 46.539890:24.558838 46.539900:24.558753 46.539898:24.558609 46.539863:24.558462
275,46.546254:24.565026 46.546098:24.564961 46.546019:24.564929
276,46.536657:24.565839 46.536669:24.565768 46.536782:24.565105 46.536854:24.564702
277,46.536854:24.564702 46.536985:24.564035 46.537026:24.563845 46.537068:24.563702 46.537096:24.563562 46.537113:24.563231 46.537117:24.563160
278,46.537117:24.563160 46.537176:24.562867 46.537180:24.562850 46.537189:24.562827
279,46.537563:24.566972 46.537525:24.566968 46.537505:24.566965 46.536844:24.566883
280,46.536844:24.566883 46.536640:24.566857 46.536611:24.566854
281,46.536657:24.565839 46.536651:24.565895 46.536613:24.566815 46.536611:24.566854
282,46.536611:24.566854 46.536622:24.566900 46.536798:24.567614
283,46.536798:24.567614 46.536999:24.568483
284,46.536999:24.568483 46.537133:24.569060
285,46.537133:24.569060 46.537199:24.569343
286,46.537199:24.569343 46.537365:24.570063
287,46.537365:24.570063 46.537376:24.570117
288,46.536798:24.567614 46.536772:24.567624 46.536763:24.567628 46.536048:24.567899 46.536039:24.567903 46.536025:24.567909
289,46.538038:24.574821 46.538381:24.574746 46.538407:24.574740 46.538550:24.574709 46.538571:24.574674 46.538563:24.574480
290,46.538563:24.574480 46.538524:24.573778
291,46.538524:24.573778 46.538507:24.573494 46.538409:24.573482 46.538073:24.573587 46.538050:24.573592
292,46.538050:24.573592 46.537994:24.573611
293,46.537994:24.573611 46.537859:24.573649
294,46.537991:24.578714 46.537905:24.578382 46.537873:24.578260
295,46.537873:24.578260 46.537844:24.578146 46.537806:24.578001
296,46.537806:24.578001 46.537776:24.577885 46.537730:24.577709
297,46.537730:24.577709 46.537705:24.577611 46.537676:24.577500 46.537611:24.577251
298,46.535158:24.578481 46.535105:24.578507 46.535085:24.578517 46.534812:24.578651 46.534775:24.578669 46.534526:24.578791 46.534474:24.578816
299,46.534474:24.578816 46.534258:24.578923 46.534038:24.579030
300,46.532991:24.582906 46.533031:24.582914 46.533150:24.582936 46.533606:24.583023 46.533660:24.583033
301,46.533660:24.583033 46.533679:24.583037 46.533925:24.583083 46.534032:24.583104 46.534066:24.583110 46.534140:24.583124
302,46.531912:24.585906 46.532090:24.585374 46.532278:24.584813
303,46.532278:24.584813 46.532427:24.584353 46.532490:24.584179
304,46.532490:24.584179 46.532495:24.584166 46.532614:24.583782
305,46.532614:24.583782 46.532849:24.583201 46.532973:24.582943 46.532991:24.582906
306,46.532711:24.589668 46.532612:24.589590 46.532433:24.589451 46.532234:24.589306 46.532164:24.589253
307,46.543999:24.552617 46.543960:24.552655 46.543495:24.553057
308,46.543495:24.553057 46.543109:24.553372 46.542871:24.553566 46.542739:24.553673
309,46.542739:24.553673 46.542719:24.553686 46.542563:24.553832 46.542395:24.553974 46.542288:24.554052 46.542212:24.554099 46.542167:24.554119
310,46.542167:24.554119 46.542031:24.554165 46.541888:24.554210 46.541698:24.554267
311,46.541698:24.554267 46.541394:24.554367 46.541123:24.554459 46.541102:24.554466 46.541073:24.554477
312,46.541073:24.554477 46.541024:24.554493 46.540546:24.554616 46.540446:24.554654 46.540324:24.554719 46.540198:24.554832 46.540062:24.554988 46.539969:24.555143 46.539920:24.555249 46.539877:24.555363 46.539855:24.555443 46.539833:24.555559 46.539815:24.555686 46.539794:24.555831 46.539779:24.555927 46.539760:24.556022 46.539724:24.556161 46.539677:24.556289 46.539669:24.556317 46.539657:24.556350
313,46.539657:24.556350 46.539639:24.556398 46.539557:24.556613 46.539400:24.557012
314,46.539400:24.557012 46.539141:24.557668
315,46.539141:24.557668 46.539003:24.558007
316,46.539003:24.558007 46.538953:24.558137 46.538936:24.558182 46.538914:24.558249
317,46.538838:24.558342 46.538983:24.558368 46.539303:24.558413 46.539385:24.558426
318,46.537421:24.557488 46.537349:24.557636 46.537340:24.557666 46.537324:24.557699
319,46.537331:24.558134 46.537292:24.557933 46.537284:24.557896 46.537286:24.557860 46.537324:24.557699
320,46.527977:24.550655 46.528177:24.551060 46.528202:24.551111
321,46.524112:24.548008 46.524252:24.548185 46.524277:24.548225
322,46.524277:24.548225 46.524311:24.548272 46.524407:24.548406
323,46.524407:24.548406 46.524453:24.548480
324,46.524453:24.548480 46.524559:24.548649
325,46.524559:24.548649 46.524777:24.548997
326,46.524777:24.548997 46.524848:24.549112 46.524902:24.549199
327,46.524902:24.549199 46.524921:24.549229
328,46.524921:24.549229 46.525075:24.549471
329,46.525075:24.549471 46.525093:24.549501 46.525103:24.549516 46.525133:24.549564 46.525322:24.549864 46.525654:24.550360
330,46.525654:24.550360 46.525885:24.550668
331,46.525885:24.550668 46.526137:24.550994
332,46.527005:24.551464 46.527102:24.551551 46.527119:24.551639 46.527087:24.551827
333,46.527310:24.551417 46.527219:24.551505 46.527163:24.551627 46.527087:24.551827
334,46.528012:24.553493 46.527992:24.553481
335,46.527992:24.553481 46.527273:24.553031 46.527183:24.552937 46.527105:24.552825 46.527048:24.552644 46.527018:24.552470 46.527012:24.552292 46.527064:24.552053 46.527109:24.551945 46.527154:24.551857 46.527226:24.551772
336,46.527226:24.551772 46.527337:24.551644 46.527460:24.551503 46.527660:24.551312
337,46.528562:24.551070 46.528328:24.550968 46.528179:24.550866 46.528075:24.550773 46.527977:24.550655
338,46.531225:24.549860 46.531300:24.550004 46.531325:24.550061 46.531377:24.550168 46.531410:24.550280 46.531413:24.550379 46.531395:24.550510 46.531341:24.550633 46.531136:24.550784
339,46.511386:24.510109 46.511341:24.509946 46.511318:24.509729
340,46.511169:24.509438 46.511032:24.509343 46.510832:24.509103
341,46.510832:24.509103 46.510941:24.509416 46.510990:24.509561
342,46.511116:24.509943 46.511236:24.510041 46.511333:24.510187 46.511938:24.511398
343,46.511938:24.511398 46.512015:24.511551
