id,osm_id,lat,lon
218,248743351,46.5398630,24.5584621
219,248743353,46.5401040,24.5582937
220,248829990,46.5445318,24.5607197
221,248829991,46.5450043,24.5601008
222,248829994,46.5396764,24.5669760
223,248830004,46.5459873,24.5626394
224,248830010,46.5436541,24.5599240
225,248830029,46.5439063,24.5596263
226,248830036,46.5464118,24.5635170
227,249334860,46.5366107,24.5668535
228,249334861,46.5358205,24.5667535
229,249334862,46.5375700,24.5714675
230,249334865,46.5375630,24.5669724
231,249334867,46.5378588,24.5736495
232,249334869,46.5381470,24.5755394
233,249334873,46.5388587,24.5783029
234,249334874,46.5352029,24.5786573
235,249334879,46.5376115,24.5772506
236,249334881,46.5379908,24.5787141
237,249334882,46.5340382,24.5790304
238,249334884,46.5346321,24.5792053
239,249334885,46.5331745,24.5791046
240,249334887,46.5344431,24.5773602
241,249334888,46.5326140,24.5837816
242,249334889,46.5316488,24.5827808
243,249334890,46.5319119,24.5859058
244,249334891,46.5325298,24.5862672
245,249334892,46.5329022,24.5874031
246,249334893,46.5321642,24.5892530
247,249528585,46.5388378,24.5583421
248,249528586,46.5396569,24.5563497
249,249528587,46.5397764,24.5564847
250,249528590,46.5386336,24.5588602
251,249528593,46.5390321,24.5602055
252,249528600,46.5373306,24.5581342
253,249528601,46.5373237,24.5576992
254,249528605,46.5355467,24.5585407
255,249528607,46.5344733,24.5593623
256,249528613,46.5308816,24.5567370
257,249528624,46.5285624,24.5510696
258,249528625,46.5279775,24.5506548
259,249528628,46.5270868,24.5518267
260,249528630,46.5270050,24.5514638
261,249528631,46.5272261,24.5517719
262,249528633,46.5273096,24.5514167
263,249528635,46.5276602,24.5513124
264,249528640,46.5231338,24.5466623
265,249528643,46.5221472,24.5435544
266,249528647,46.5151515,24.5179481
267,249528648,46.5108316,24.5091033
268,249528649,46.5113178,24.5097290
269,249528650,46.5111690,24.5094382
270,249528651,46.5109670,24.5096524
271,249528695,46.5295393,24.5591004
272,249528697,46.5383497,24.5595566
273,249528698,46.5373445,24.5586647
274,249528701,46.5507992,24.5674486
275,249528705,46.5409331,24.5637667
276,249528706,46.5405941,24.5642829
277,249528707,46.5402970,24.5625036
278,249528708,46.5407601,24.5634823
279,249528709,46.5399811,24.5641995
280,249528711,46.5412556,24.5662594
281,249528712,46.5397014,24.5621835
282,249528713,46.5400460,24.5600574
283,249528714,46.5399036,24.5622988
284,249528715,46.5395258,24.5643837
285,249528721,46.5426452,24.5553600
286,249528723,46.5411294,24.5546448
287,249764823,46.5387847,24.5634108
288,249764826,46.5381064,24.5631636
289,249764831,46.5382358,24.5623130
290,249764832,46.5380385,24.5622235
291,249764838,46.5389701,24.5596917
292,249764839,46.5379208,24.5645069
293,249764841,46.5379429,24.5660096
294,249764842,46.5385590,24.5647379
295,249764844,46.5375008,24.5690293
296,249764847,46.5351729,24.5721034
297,249764862,46.5340255,24.5708987
298,249764885,46.5338156,24.5733342
299,249820995,46.5366217,24.5745233
300,249820996,46.5371170,24.5769799
301,249820997,46.5361047,24.5747826
302,249820998,46.5364823,24.5772432
303,249821005,46.5355492,24.5761063
304,249821006,46.5351189,24.5770583
305,249821008,46.5377387,24.5767205
306,249821016,46.5345375,24.5766403
307,249821017,46.5336867,24.5766580
308,249821018,46.5343824,24.5772825
309,249821022,46.5339868,24.5753588
310,249821033,46.5351086,24.5747470
311,249821045,46.5340172,24.5743705
312,249821046,46.5341276,24.5738789
313,249821053,46.5343240,24.5732259
314,249821054,46.5338742,24.5743810
315,249821055,46.5335932,24.5743949
316,249821056,46.5341093,24.5733244
317,249821060,46.5342896,24.5728187
318,249821062,46.5337250,24.5743947
319,249821063,46.5338308,24.5753267
320,249821065,46.5335801,24.5734385
321,249821067,46.5335328,24.5757067
322,249821077,46.5350887,24.5799985
323,249821078,46.5355986,24.5800875
324,249821091,46.5354333,24.5837065
325,249821094,46.5353369,24.5829637
326,250418220,46.5259199,24.5441127
327,250418221,46.5273347,24.5438570
328,250418229,46.5267886,24.5459317
329,250418244,46.5266967,24.5457489
330,250418245,46.5273258,24.5450101
331,250418247,46.5272886,24.5444447
332,250418251,46.5340725,24.5857309
333,250418252,46.5344018,24.5860366
334,250418253,46.5342082,24.5864739
335,250418254,46.5344323,24.5866644
336,250418255,46.5346983,24.5869060
337,250418258,46.5342395,24.5862095
338,250418259,46.5341743,24.5880780
339,250418260,46.5338800,24.5878130
340,250418261,46.5343236,24.5865741
341,250418275,46.5365261,24.5778495
342,252153230,46.5378258,24.5608849
343,252153231,46.5373369,24.5604645
344,252153234,46.5321293,24.5699049
345,252153241,46.5299853,24.5825067
346,252153248,46.5347303,24.5601131
347,252153255,46.5356146,24.5601511
348,252153282,46.5353362,24.5619008
349,252153285,46.5348944,24.5617641
350,252153286,46.5341588,24.5608456
351,252153300,46.5336280,24.5613425
352,252153309,46.5346863,24.5630110
353,252153310,46.5337586,24.5645903
354,252153315,46.5333368,24.5615027
355,252153316,46.5322719,24.5629884
356,252153320,46.5328541,24.5603415
357,252153323,46.5316401,24.5584491
358,252153325,46.5307972,24.5606443
359,252153334,46.5346436,24.5602243
360,252153339,46.5332323,24.5654317
361,252153350,46.5320659,24.5627251
362,252153357,46.5317380,24.5623198
363,252153358,46.5322023,24.5630996
364,252153360,46.5319968,24.5628362
365,252668036,46.5343013,24.5779590
366,252668037,46.5341466,24.5785889
367,252668041,46.5340358,24.5785568
368,252668047,46.5340336,24.5782955
369,252668065,46.5326764,24.5789902
370,252668067,46.5326148,24.5777105
371,252668072,46.5323924,24.5758293
372,252668074,46.5321059,24.5767081
373,252668075,46.5323955,24.5790122
374,252668077,46.5320086,24.5758670
375,252668082,46.5344142,24.5835039
376,252668083,46.5345549,24.5836403
377,252668084,46.5343193,24.5841583
378,252668085,46.5346425,24.5844456
379,252668090,46.5344209,24.5833021
380,252828771,46.5403205,24.5587993
381,252828773,46.5408068,24.5602802
382,252828774,46.5403680,24.5607639
383,252828775,46.5403872,24.5619597
384,252828780,46.5410977,24.5593070
385,252828781,46.5407212,24.5598405
386,252828783,46.5410289,24.5587546
387,252828786,46.5415835,24.5586949
388,252828788,46.5439097,24.5640246
389,252828793,46.5450440,24.5645963
390,252828794,46.5454088,24.5639522
391,252828797,46.5495710,24.5617050
392,252828799,46.5518371,24.5688253
393,252828800,46.5491956,24.5674512
394,252828802,46.5478627,24.5721161
395,252828807,46.5409835,24.5734126
396,252828812,46.5387858,24.5872907
397,253105361,46.5346266,24.5698073
398,253105368,46.5344714,24.5693814
399,253105369,46.5344719,24.5687807
400,253105373,46.5335964,24.5702626
401,253105374,46.5348565,24.5687207
402,253105375,46.5348460,24.5681203
403,253105377,46.5348643,24.5675339
404,253105378,46.5347733,24.5668726
405,253105379,46.5347666,24.5659745
406,253105389,46.5343687,24.5663656
407,253105390,46.5340889,24.5663817
408,253105395,46.5331402,24.5712552
409,253105396,46.5338844,24.5720070
410,253105402,46.5344651,24.5673262
411,253105405,46.5340892,24.5667505
412,254167222,46.5431868,24.5577370
413,254167237,46.5427059,24.5573180
414,255161306,46.5353557,24.5623505
415,255161311,46.5338014,24.5641840
416,255161314,46.5343697,24.5628849
417,255161321,46.5336928,24.5655055
418,255161327,46.5336036,24.5671631
419,255161336,46.5327445,24.5680181
420,255161337,46.5327514,24.5677231
421,255161343,46.5329777,24.5673892
422,255161344,46.5321268,24.5723552
423,255161346,46.5315433,24.5735398
424,255161347,46.5314802,24.5735553
425,255161351,46.5314981,24.5741375
426,255161352,46.5323821,24.5740659
427,255161353,46.5316043,24.5747841
428,255161354,46.5316346,24.5754686
429,255161356,46.5312436,24.5755079
430,255161357,46.5315189,24.5751194
431,255161359,46.5323607,24.5772219
432,255161360,46.5323780,24.5777489
433,255161361,46.5321285,24.5772256
434,255161365,46.5313332,24.5830532
435,255161371,46.5311799,24.5794260
436,255161373,46.5313172,24.5785852
437,255161377,46.5315490,24.5768594
438,255161378,46.5315349,24.5764443
439,255161381,46.5322777,24.5848131
440,255161382,46.5325185,24.5849492
441,255161402,46.5327115,24.5896678
442,255161404,46.5309920,24.5911476
443,255161406,46.5329742,24.5697622
444,255161414,46.5320842,24.5669458
445,255326088,46.5400601,24.5454774
446,255326090,46.5482795,24.5507747
447,255326094,46.5518943,24.5616334
448,255326097,46.5535611,24.5698841
449,255463252,46.5346623,24.5925301
450,255463253,46.5342706,24.5913082
451,255463254,46.5343643,24.5916005
452,255463255,46.5349765,24.5905321
453,255463261,46.5362130,24.5901615
454,255463265,46.5376057,24.5888549
455,255463267,46.5375176,24.5875992
456,255463269,46.5379738,24.5880979
457,255463272,46.5378882,24.5868710
458,255463274,46.5383474,24.5873641
459,255463275,46.5385317,24.5870022
460,255463276,46.5371923,24.5896329
461,255463287,46.5386769,24.5894789
462,255463288,46.5375417,24.5915623
463,255463297,46.5366023,24.5951239
464,255463303,46.5381446,24.5904306
465,255463309,46.5352979,24.5919595
466,256503777,46.5468580,24.5761703
467,256503780,46.5476900,24.5736077
468,256503782,46.5546818,24.5790359
469,256503783,46.5550906,24.5782917
470,256503798,46.5544833,24.5755934
471,256503805,46.5543731,24.5729757
472,256503815,46.5546167,24.5762435
473,256503816,46.5542266,24.5759290
474,256503818,46.5546532,24.5724312
475,256503819,46.5542079,24.5721130
476,256503820,46.5539423,24.5726846
477,256506578,46.5521262,24.5718771
478,256506579,46.5524186,24.5708691
479,256620672,46.5304260,24.5926455
480,256620675,46.5316517,24.5901085
481,256620679,46.5312846,24.5886548
482,256620692,46.5311336,24.5901454
483,256620716,46.5315944,24.5901979
484,256620719,46.5310821,24.5925557
485,256620721,46.5311243,24.5910199
486,256620722,46.5312494,24.5911752
487,256620723,46.5310272,24.5918542
488,256620725,46.5321991,24.5912212
489,256620726,46.5316371,24.5915695
490,256620727,46.5313698,24.5917474
491,256620728,46.5319171,24.5921302
492,257998234,46.5384901,24.5639482
493,257998235,46.5382484,24.5646205
494,257998237,46.5382614,24.5649247
495,257998255,46.5387686,24.5670606
496,257998268,46.5387265,24.5690747
497,257998269,46.5381865,24.5690753
498,257998281,46.5384604,24.5702332
499,257998288,46.5385195,24.5712020
500,257998294,46.5377884,24.5731574
501,257998305,46.5380381,24.5748205
502,257998328,46.5386625,24.5763575
503,257998329,46.5387022,24.5766982
504,257998344,46.5392851,24.5797877
505,257998454,46.5394285,24.5810199
506,257998456,46.5395950,24.5826284
507,257998458,46.5396074,24.5829358
508,257998460,46.5395903,24.5838439
509,257998464,46.5388956,24.5837903
510,257998466,46.5388637,24.5800581
511,257998469,46.5399238,24.5840156
512,257998470,46.5393172,24.5800461
513,257998473,46.5398346,24.5797202
514,257998474,46.5390636,24.5800916
515,257998477,46.5390904,24.5809874
516,257998481,46.5392105,24.5826362
517,257998488,46.5397044,24.5834938
518,257998491,46.5396657,24.5835419
519,257998495,46.5375734,24.5832066
520,257998499,46.5371946,24.5824395
521,257998504,46.5379946,24.5814108
522,257998514,46.5361486,24.5825042
523,258199124,46.5369706,24.5532964
524,258199128,46.5352472,24.5524214
