id,osm_id,lat,lon
132,21644561,45.8980772,26.8746607
133,21644569,45.8991771,26.8847297
134,21644581,45.9042830,26.8926549
135,21644582,45.9049979,26.8931412
136,21644601,45.9103232,26.9063498
137,21644613,45.9101300,26.9180912
138,21644620,45.9105610,26.9232284
139,21644622,45.9096463,26.9242189
140,21644626,45.9079020,26.9260438
141,21644630,45.9083114,26.9282545
142,21644675,45.9005944,26.9810378
143,21644688,45.8820294,27.0220150
144,21644715,45.8275252,27.0856518
145,21644732,45.7846510,27.1140849
146,21644768,45.7259977,27.1604853
147,21644771,45.7228008,27.1633106
148,21644776,45.7188359,27.1673363
149,21644787,45.7128607,27.1670464
150,21644795,45.6770770,27.2478477
151,21644806,45.6798609,27.2345559
152,21644813,45.6785581,27.2139627
153,21644814,45.6787493,27.2125985
154,21644815,45.6791297,27.2115762
155,21644816,45.6804432,27.2094756
156,21644818,45.6845405,27.2030038
157,21644819,45.6869407,27.1992228
158,21644820,45.6871147,27.1989457
159,21644828,45.6879464,27.1977147
160,21644858,45.7097355,27.1976569
161,21644863,45.7073295,27.1938263
162,21644864,45.7067084,27.1929312
163,21644865,45.7069633,27.1921958
164,21644868,45.7070726,27.1933709
165,21644882,45.7103865,27.1731524
166,21644885,45.7111604,27.1703214
167,21644891,45.6700723,27.2612026
168,21644893,45.6684010,27.2641716
169,21644922,45.6501191,27.3156718
170,21644924,45.6492124,27.3177492
171,21644926,45.6484914,27.3204685
172,21644936,45.6406457,27.3664489
173,21644937,45.6385588,27.3708999
174,21644962,45.6210112,27.4221074
175,21644963,45.6208160,27.4226860
176,21644974,45.6141698,27.4335747
177,21644976,45.6115431,27.4388246
178,21644980,45.5952632,27.4691033
179,21644988,45.5750182,27.4979425
180,21644991,45.5548052,27.4999927
181,21645008,45.5345623,27.4984687
182,21645011,45.5325336,27.4981342
183,21645012,45.5271913,27.4947283
184,21645090,45.3989495,27.6825972
185,21645092,45.3977349,27.6846543
186,21645109,45.3335116,27.8216247
187,21645123,45.2918595,27.9235657
188,21645125,45.2922886,27.9292609
189,21645147,45.2893026,27.9522509
190,21763432,44.4377580,26.1142371
191,21763433,44.4375383,26.1131704
192,21763438,44.4357352,26.1034565
193,21763439,44.4345728,26.0884005
194,21763480,44.4353416,26.1016102
195,21763503,44.4345582,26.0873611
196,25478311,45.7290217,21.2694902
197,25478313,45.7298415,21.2667235
198,25478317,45.7318401,21.2614007
199,25478325,45.7336509,21.2593978
200,25478328,45.7335607,21.2588657
201,25478331,45.7340518,21.2576463
202,25478346,45.7384158,21.2407023
203,25498299,45.7864057,21.2182763
204,25498304,45.7866513,21.2176079
205,25498306,45.7863513,21.2178321
206,25498307,45.7872605,21.2170978
207,25498308,45.7878926,21.2161871
208,25498342,45.8456243,21.1952440
209,25498343,45.8475691,21.1965085
210,25498353,45.8661275,21.2030271
211,25498354,45.8688647,21.2031071
212,25498376,45.9162605,21.2014616
213,25498378,45.9231358,21.1996979
214,25498390,45.9372774,21.1972151
215,25498399,45.9497492,21.1970543
216,25498401,45.9579351,21.1970592
217,25498405,45.9612806,21.1977929
218,25498406,45.9643914,21.2002039
219,25498414,45.9697481,21.2039613
220,25498415,45.9744495,21.2026600
221,25498455,46.0189152,21.2257637
222,25498469,46.0406923,21.2506016
223,25498483,46.0671677,21.2836424
224,25498484,46.0695813,21.2853712
225,25498500,46.1358762,21.3198277
226,25499176,45.7394530,21.2097088
227,25500101,45.7787135,21.3655424
228,25500117,45.7973075,21.4469142
229,25500128,45.8020163,21.4747826
230,25500130,45.8002059,21.4912003
231,25500142,45.8005937,21.5123895
232,25500179,45.7747442,21.6289759
233,25500281,45.7031497,21.8918646
234,25530073,45.7324581,21.2598347
235,25530081,45.7324462,21.2588748
236,25530084,45.7332963,21.2585130
237,25530086,45.7323475,21.2604003
238,25530087,45.7382262,21.2408460
239,25615665,45.7527443,21.2511285
240,25615689,45.7682065,21.2644786
241,25615700,45.7635174,21.2519041
242,25658643,45.7274629,21.2043617
243,25658654,45.7005809,21.1823262
244,25658658,45.6852867,21.1696110
245,25658661,45.6828723,21.1686852
246,25658718,45.6541863,21.1739360
247,25689393,45.7256089,21.2842314
248,25733693,44.4257170,26.1278491
249,25754950,45.7326577,21.2086211
250,25872561,45.6524946,21.9672198
251,25872574,45.6331419,22.0062149
252,25872631,45.6082237,22.0561465
253,25872657,45.5823493,22.1130397
254,25872669,45.5780262,22.1178080
255,25872685,45.5476552,22.1485395
256,25872705,45.4839372,22.1659573
257,25872718,45.4454679,22.1909606
258,25872738,45.4159533,22.1987458
259,25872740,45.4156517,22.1997772
260,25872747,45.4118992,22.2116066
261,25872778,45.4085007,22.2217803
262,25872804,45.3661514,22.2411337
263,25872807,45.3595973,22.2462878
264,25872824,45.2895911,22.2913827
265,25872918,45.2625526,22.2979738
266,25872969,45.2534170,22.2972410
267,25872975,45.2413980,22.3008858
268,25873208,45.1943800,22.3094535
269,25873238,45.1720785,22.3009704
270,25873241,45.1700639,22.3029270
271,25873249,45.1570918,22.3024288
272,25873252,45.1535373,22.3047444
273,25873260,45.1387856,22.3146319
274,25873318,45.0972534,22.3141022
275,25873361,45.0719162,22.3090160
276,25873386,45.0396363,22.3175256
277,25873394,45.0295186,22.3204509
278,25873681,44.9259564,22.3549059
279,25873698,44.8922456,22.3769038
280,25873710,44.8576128,22.3876748
281,25873713,44.8551679,22.3863911
