id,coords
55,45.609339:27.442873 45.607041:27.447093 45.604537:27.451711 45.601985:27.456388 45.601497:27.457294 45.601427:27.457423 45.600141:27.459812 45.599165:27.461644 45.598287:27.463238 45.597520:27.464658 45.595985:27.467499 45.595732:27.467966 45.595582:27.468271 45.595458:27.468559 45.595370:27.468803 45.595263:27.469103
56,45.478652:27.536242 45.478452:27.536577 45.478282:27.536813 45.478153:27.536942 45.478044:27.536990 45.477946:27.537001 45.477809:27.536985 45.477577:27.536923
57,45.397735:27.684654 45.397685:27.684745 45.397644:27.684831 45.397582:27.685000 45.397505:27.685225 45.397250:27.686144 45.396882:27.687583 45.396313:27.689816 45.395976:27.691131 45.395230:27.694016 45.394699:27.696095 45.394438:27.697114 45.394396:27.697255 45.394333:27.697479 45.394269:27.697644 45.394237:27.697726 45.394034:27.698165 45.393873:27.698512 45.393760:27.698757 45.393551:27.699187 45.393287:27.699776 45.392883:27.700653 45.392583:27.701320 45.392568:27.701352 45.392235:27.702068 45.392044:27.702473 45.391681:27.703255 45.391300:27.704064 45.391124:27.704440
58,45.286367:27.970919 45.285939:27.970998 45.285860:27.971013 45.285757:27.971034
59,45.271877:27.975046 45.271901:27.975030 45.271926:27.975002 45.271947:27.974963 45.271963:27.974908 45.271971:27.974833 45.271974:27.974395 45.271974:27.974182 45.271975:27.974091
60,45.271975:27.974091 45.271970:27.973719
61,45.271970:27.973719 45.271958:27.973657 45.271941:27.973612 45.271921:27.973580 45.271892:27.973555 45.271853:27.973544 45.271630:27.973539 45.271530:27.973536 45.271512:27.973535
62,45.258325:27.958991 45.258191:27.958967 45.258177:27.958965 45.258083:27.958961 45.258005:27.958984 45.257812:27.959122 45.257543:27.959382 45.257366:27.959559
63,45.143774:26.843100 45.143686:26.843227
64,45.233039:27.937783 45.232759:27.937531 45.231397:27.936328
65,45.228330:27.933610 45.227661:27.933017 45.227199:27.932599 45.225739:27.931293 45.225220:27.930826 45.224522:27.930195 45.223675:27.929448 45.223450:27.929241
66,44.566613:27.385013 44.566314:27.384712 44.566175:27.384588 44.566073:27.384504 44.565996:27.384469 44.565904:27.384445
67,44.920843:22.356447 44.920514:22.356511 44.919604:22.356710 44.919320:22.356790 44.918527:22.357224 44.917323:22.357928 44.916849:22.358161 44.916652:22.358263
68,45.858569:22.211459 45.858580:22.212366 45.858593:22.213267 45.858599:22.213797 45.858626:22.215939 45.858618:22.216194 45.858574:22.216608 45.858494:22.217277 45.858330:22.218588 45.858190:22.219696 45.858011:22.221135 45.857876:22.222212 45.857733:22.223352 45.857463:22.225527 45.857337:22.226476 45.857289:22.226997 45.857283:22.227412 45.857284:22.227805 45.857354:22.229180 45.857445:22.230744 45.857517:22.232210 45.857609:22.233894 45.857642:22.234613 45.857683:22.235281 45.857712:22.235930 45.857745:22.236265 45.857791:22.236562 45.857912:22.237208 45.857948:22.237457 45.857999:22.237872 45.858019:22.238101 45.858027:22.238368 45.858027:22.238639 45.858019:22.238944 45.857951:22.239673 45.857903:22.240068 45.857879:22.240288 45.857859:22.240541 45.857857:22.240736 45.857878:22.240943
69,44.853152:22.385842 44.852661:22.385808 44.852550:22.385810 44.851766:22.385848 44.851428:22.385795 44.851172:22.385662 44.850859:22.385476 44.849650:22.384452 44.848782:22.383622 44.848393:22.383340 44.847991:22.383170 44.846722:22.382744 44.846165:22.382595 44.845593:22.382540 44.845220:22.382538 44.844959:22.382587 44.844438:22.382708 44.843866:22.382804 44.843207:22.382866 44.842831:22.382970 44.842420:22.383164 44.841312:22.383868 44.840875:22.384235 44.840573:22.384536 44.839363:22.386237 44.838819:22.387020 44.837399:22.388813 44.836909:22.389431 44.835896:22.390811 44.834849:22.392285 44.834678:22.392511 44.834486:22.392728 44.834280:22.392899 44.834026:22.393101 44.833793:22.393236 44.833542:22.393339 44.833304:22.393402 44.833077:22.393428 44.832815:22.393441 44.832566:22.393420 44.832292:22.393356 44.831977:22.393249 44.831675:22.393093 44.831420:22.392905 44.831176:22.392683 44.830935:22.392410 44.830714:22.392091 44.830546:22.391781 44.830393:22.391418 44.830277:22.391100 44.830139:22.390559 44.830055:22.390072 44.829980:22.389005 44.829910:22.388503 44.829833:22.388099 44.829702:22.387712 44.829521:22.387425 44.829266:22.387151 44.828966:22.386942 44.828540:22.386738 44.827509:22.386306 44.826934:22.386019 44.826403:22.385647
70,44.622706:23.202025 44.622702:23.202054 44.622626:23.202673 44.622610:23.202794 44.622600:23.202862 44.622522:23.203455 44.622462:23.203933 44.622405:23.204391 44.622360:23.204713 44.622248:23.205564 44.622113:23.206692 44.621972:23.207769 44.621873:23.208546 44.621761:23.209440 44.621690:23.210019
